ODI;SIGLAS_AREA;ANIO;NRO_EXPEDIENTE;TIPO_EXPEDIENTE;FECHA_PRESENTACION;SECTOR;SUB_SECTOR;DENUNCIADOS;RUC_DENUNCIADOS; 
SEDE CENTRAL;PS3;2015;1;DENUNCIA;5/01/2015;COMERCIO MINORISTA DE OTROS PRODUCTOS;VENTA DE OTROS PRODUCTOS;;; 
SEDE CENTRAL;PS3;2015;1;SANCIONADOR POR EL ART. 5;8/09/2015;COMERCIO MAYORISTA DE OTROS PRODUCTOS;VENTA DE OTROS PRODUCTOS;PRODUCTOS AVON S A;20100078792; 
SEDE CENTRAL;PS3;2015;10;DENUNCIA;5/01/2015;COMERCIO MINORISTA DE ARTICULOS DE FERRETERIA Y AFINES;VENTA DE ARTICULOS DE FERRETERIA;;; 
SEDE CENTRAL;PS3;2015;100;DENUNCIA;22/01/2015;TIENDAS POR  DEPARTAMENTO, BAZARES Y CONEXOS;VENTA DE OTROS PRODUCTOS;SAGA FALABELLA S.A.;20100128056; 
SEDE CENTRAL;PS3;2015;1000;DENUNCIA;24/06/2015;COMERCIO MINORISTA DE OTROS PRODUCTOS;VENTA DE OTROS PRODUCTOS;OPTICAS GMO PERU S.A.C.;20467675436; 
SEDE CENTRAL;PS3;2015;1001;DENUNCIA;24/06/2015;COMERCIO MINORISTA DE TEXTILES, PRENDAS DE VESTIR Y CALZADO;VENTA DE PRENDAS DE VESTIR;;; 
SEDE CENTRAL;PS3;2015;1002;DENUNCIA;25/06/2015;AGENCIAS DE VIAJE Y OTROS SERVICIOS DE TRANSPORTE;ACTIVIDADES DE AGENCIAS DE VIAJES;NETWORK LEADING GROUP HOLDING S.A.;20419861236; 
SEDE CENTRAL;PS3;2015;1003;DENUNCIA;25/06/2015;COMERCIO MAYORISTA DE OTROS PRODUCTOS;VENTA DE OTROS PRODUCTOS;SANIHOLD S.A.C.;20514737364; 
SEDE CENTRAL;PS3;2015;1004;DENUNCIA;25/06/2015;COMERCIO MAYORISTA DE OTROS PRODUCTOS;VENTA DE OTROS PRODUCTOS;LA CASA DEL MACHIMBRADO SELECTO SAC;20554598278; 
SEDE CENTRAL;PS3;2015;1005;DENUNCIA;25/06/2015;SERVICIOS VARIOS;OTROS SERVICIOS;;; 
SEDE CENTRAL;PS3;2015;1006;DENUNCIA;25/06/2015;COMERCIO MINORISTA DE OTROS PRODUCTOS;VENTA DE OTROS PRODUCTOS;;; 
